report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-17,ar55,341,0.14,428.0,0.28785047
2016-02-16,ar55_2,431,0.12,435.0,0.24275862
2016-02-17,ar55_2,162,0.06,203.0,0.26009852
2016-02-16,ar56,58253,18.07,58914.0,0.26991207
2016-02-17,ar56,33290,12.99,41714.0,0.27403749
2016-02-16,ar56_2,142422,34.04,144035.0,0.20797168
2016-02-17,ar56_2,53753,16.88,67379.0,0.22046037
2016-02-16,ar58,259253,92.37,524346.0,0.15502283
2016-02-17,ar58,147830,57.58,370534.0,0.13674967
2016-02-16,ar58_2,704032,185.89,712008.0,0.2297491
2016-02-17,ar58_2,278936,85.81,349632.0,0.21597794
2016-02-16,ar60,62855,27.57,63544.0,0.38180788
2016-02-17,ar60,14533,6.54,18176.0,0.31663732
2016-02-16,ar60_2,150784,48.14,152494.0,0.2778024
2016-02-17,ar60_2,33317,11.78,41760.0,0.24823754
2016-02-16,ar61,23692,8.47,23946.0,0.31126703
2016-02-17,ar61,10234,4.03,12797.0,0.27712747
2016-02-16,ar61_2,56178,16.26,56814.0,0.25185342
2016-02-17,ar61_2,18580,5.88,23264.0,0.22242091
2016-02-16,ar61_728x90_1,7749,2.6,7797.0,0.29344619
2016-02-17,ar61_728x90_1,3962,1.45,4948.0,0.25788198
2016-02-16,ar62,836295,312.99,845720.0,0.32567657
2016-02-17,ar62,365936,146.14,458616.0,0.28041586
2016-02-16,ar62_2,2803170,765.82,2834922.0,0.23772139
2016-02-17,ar62_2,805561,253.07,1009727.0,0.22055626
2016-02-16,ar63,1717,0.77,1736.0,0.39032257
2016-02-17,ar63,3968,2.47,4974.0,0.43699237
2016-02-16,ar63_2,4745,1.48,4799.0,0.27138988
2016-02-17,ar63_2,10792,5.56,13527.0,0.36170621
2016-02-16,ar65,35,0.02,35.0,0.50285713
2016-02-17,ar65,12,0.01,15.0,0.58666665
2016-02-16,ar65_2,145,0.02,147.0,0.11972789
2016-02-17,ar65_2,11,0.01,14.0,0.62857141
2016-02-16,ar66,377,0.06,370.0,0.1427027
2016-02-17,ar66,11,0.0,12.0,0.0
2016-02-16,ar66_2,1066,0.08,1074.0,0.06554935
2016-02-16,ar68,4453,1.87,4481.0,0.36723946
2016-02-17,ar68,2687,1.11,3343.0,0.29219265
2016-02-16,ar68_1,4506,1.95,4536.0,0.37830689
2016-02-17,ar68_1,3426,1.66,4263.0,0.34266947
2016-02-16,ar68_2,36673,10.21,37088.0,0.24225626
2016-02-17,ar68_2,18807,6.31,23575.0,0.23553764
2016-02-16,ar71_300x250,1841,0.9,1862.0,0.42534908
2016-02-17,ar71_300x250,3402,2.1,4264.0,0.43339585
2016-02-16,ar71_300x250_2,5571,2.26,5634.0,0.35299964
2016-02-17,ar71_300x250_2,10892,5.69,13653.0,0.36674724
2016-02-16,ar73,117981,46.03,119293.0,0.33955386
2016-02-17,ar73,66159,29.11,82864.0,0.3091427
2016-02-16,ar73_2,446509,113.01,451566.0,0.22023093
2016-02-17,ar73_2,201501,63.53,252569.0,0.22135099
2016-02-16,ar73_728x90_1,47497,15.82,47990.0,0.29009376
2016-02-17,ar73_728x90_1,32473,12.82,40628.0,0.27768041
2016-02-16,ar74,32836,11.22,33208.0,0.29732595
2016-02-17,ar74,22516,8.12,28224.0,0.2531746
2016-02-16,ar74_2,34156,8.94,34543.0,0.22775091
2016-02-17,ar74_2,21535,6.43,26992.0,0.20963248
2016-02-16,ar76_2,14,0.0,14.0,0.0
2016-02-17,ar76_2,9,0.0,11.0,0.0
2016-02-16,ar78,111661,21.91,112926.0,0.17073836
2016-02-17,ar78,32228,8.78,40396.0,0.19126646
2016-02-16,ar78_3,39184,9.96,39628.0,0.22117695
2016-02-17,ar78_3,13298,4.53,16668.0,0.23916488
2016-02-16,ar79,193193,40.42,195380.0,0.18205343
2016-02-17,ar79,120457,28.97,150974.0,0.16886086
2016-02-16,ar79_2,517448,62.68,523312.0,0.10540251
2016-02-17,ar79_2,287702,42.32,360620.0,0.10327103
2016-02-16,ar80,6477,2.31,6526.0,0.31149248
2016-02-17,ar80,4156,1.49,5189.0,0.25268838
2016-02-16,ar80_2,22975,4.58,23236.0,0.17345498
2016-02-17,ar80_2,13790,3.18,17286.0,0.16188824
2016-02-16,ar81,21177,5.66,21417.0,0.23256291
2016-02-17,ar81,31729,11.12,39773.0,0.24603625
2016-02-16,ar81_1,5938,1.23,5978.0,0.1810639
2016-02-17,ar81_1,9883,3.18,12378.0,0.22607853
2016-02-16,ar81_2,9774,3.55,9885.0,0.31603439
2016-02-17,ar81_2,6349,2.14,7934.0,0.23735822
2016-02-16,ar83,26457,8.63,26757.0,0.28382853
2016-02-17,ar83,16996,6.09,21304.0,0.2515584
2016-02-16,ar83_2,15377,4.01,15551.0,0.2269179
2016-02-17,ar83_2,9576,2.85,12003.0,0.20894776
2016-02-16,ar83_728x90_1,7876,2.37,7965.0,0.26184556
2016-02-17,ar83_728x90_1,5325,1.92,6675.0,0.25312359
2016-02-16,ar83_728x90_2,3730,1.0,3772.0,0.23329799
2016-02-17,ar83_728x90_2,2275,0.73,2852.0,0.22524545
2016-02-16,ar84,166763,84.83,168592.0,0.44278733
2016-02-17,ar84,103364,55.3,129480.0,0.37584182
2016-02-16,ar84_2,1168946,359.41,1182184.0,0.2675394
2016-02-17,ar84_2,551917,205.35,691798.0,0.26121499
2016-02-16,ar85,27286,25.78,55116.0,0.41161188
2016-02-17,ar85,8571,12.75,21398.0,0.52434807
2016-02-16,ar85_2,63367,43.19,64052.0,0.59338036
2016-02-17,ar85_2,13873,19.89,17356.0,1.00848119
2016-02-16,ar85_728x90_1,8968,6.71,8999.0,0.6561618
2016-02-17,ar85_728x90_1,3550,5.04,4427.0,1.00185226
2016-02-16,ar85_728x90_2,19436,10.41,19598.0,0.46743545
2016-02-17,ar85_728x90_2,4958,6.91,6183.0,0.98347079
2016-02-16,ar86,29842,11.22,30171.0,0.32725466
2016-02-17,ar86,12762,4.5,15956.0,0.2481825
2016-02-16,ar86_2,117294,36.14,118624.0,0.26810089
2016-02-17,ar86_2,37654,10.46,47197.0,0.19502935
2016-02-16,ar89,3225,1.81,3254.0,0.48948984
2016-02-17,ar89,2139,1.2,2678.0,0.39432414
2016-02-16,ar89_2,34466,12.39,34855.0,0.31281596
2016-02-17,ar89_2,22302,8.66,27954.0,0.2726193
2016-02-16,ar90,33,0.02,33.0,0.53333332
2016-02-17,ar90,19,0.0,24.0,0.0
2016-02-16,ar90_2,50,0.02,51.0,0.34509803
2016-02-17,ar90_2,27,0.0,34.0,0.0
2016-02-16,ar91,517,0.04,523.0,0.06730401
2016-02-17,ar91,216,0.04,268.0,0.13134328
2016-02-16,ar91_1,157,0.01,159.0,0.05534591
2016-02-17,ar91_1,80,0.02,99.0,0.17777777
2016-02-16,ar91_2,1453,0.13,1469.0,0.0778761
2016-02-17,ar91_2,1004,0.13,1258.0,0.09093799
2016-02-16,ar91_728x90_2,484,0.05,489.0,0.08997955
2016-02-17,ar91_728x90_2,260,0.04,322.0,0.10931677
2016-02-16,ar92,59828,27.98,60505.0,0.40694818
2016-02-17,ar92,27440,14.02,34395.0,0.35870331
2016-02-16,ar92_1,213,0.07,190.0,0.32421053
2016-02-17,ar92_1,1340,0.77,1672.0,0.40526315
2016-02-16,ar92_2,2160,0.73,2179.0,0.29481414
2016-02-17,ar92_2,22362,9.1,28030.0,0.28569391
2016-02-16,ar93,1157,0.58,1170.0,0.4362393
2016-02-17,ar93,2387,1.29,2992.0,0.37941175
2016-02-16,ar93_2,7539,2.45,7624.0,0.28279119
2016-02-17,ar93_2,16476,6.85,20652.0,0.29188456
2016-02-16,ar94,43,0.03,43.0,0.61395347
2016-02-17,ar94,21,0.03,26.0,1.01538459
2016-02-16,ar94_2,111,0.05,112.0,0.39285715
2016-02-17,ar94_2,57,0.04,71.0,0.49577464
2016-02-17,ar95,143,0.01,179.0,0.04916201
2016-02-17,ar95_1,81,0.02,102.0,0.17254902
2016-02-16,ar96,552,0.15,558.0,0.23655915
2016-02-17,ar96,479,0.13,600.0,0.19066666
2016-02-16,ar96_2,1243,0.23,1257.0,0.1610183
2016-02-17,ar96_2,1205,0.2,1510.0,0.11655629
2016-02-16,ar_ble100,135,0.03,137.0,0.19270073
2016-02-17,ar_ble100,46,0.0,58.0,0.0
2016-02-16,ar_bro16_728x90_3,11,0.0,11.0,0.0
2016-02-16,ar_bro18_728x90_3,31,0.0,31.0,0.0
2016-02-17,ar_bro18_728x90_3,10,0.0,13.0,0.0
2016-02-16,ar_bro23_300x250_1,321,0.06,325.0,0.16246153
2016-02-17,ar_bro23_300x250_1,183,0.04,229.0,0.15371179
2016-02-16,ar_bro23_728x90_1,457,0.13,462.0,0.24761904
2016-02-17,ar_bro23_728x90_1,234,0.03,294.0,0.08979592
2016-02-16,ar_bro23_728x90_2,261,0.03,264.0,0.1
2016-02-17,ar_bro23_728x90_2,126,0.01,158.0,0.0556962
2016-02-16,ar_cs10_300x250_1,32,0.01,32.0,0.27499999
2016-02-17,ar_cs10_300x250_1,14,0.01,18.0,0.48888888
2016-02-16,ar_cs10_728x90_1,31,0.01,31.0,0.28387096
2016-02-17,ar_cs10_728x90_1,17,0.01,21.0,0.41904761
2016-02-16,ar_cs10_728x90_2,30,0.0,30.0,0.0
2016-02-17,ar_cs10_728x90_2,17,0.01,21.0,0.41904761
2016-02-16,ar_cs10_728x90_3,19,0.0,19.0,0.0
2016-02-17,ar_cs10_728x90_3,11,0.01,14.0,0.62857141
2016-02-16,ar_cs11_300x250_1,281,0.09,284.0,0.27887325
2016-02-17,ar_cs11_300x250_1,577,0.13,723.0,0.15822959
2016-02-16,ar_cs11_728x90_1,320,0.07,324.0,0.19012346
2016-02-17,ar_cs11_728x90_1,628,0.09,787.0,0.10063533
2016-02-16,ar_cs11_728x90_2,126,0.02,127.0,0.13858267
2016-02-17,ar_cs11_728x90_2,312,0.03,391.0,0.06751918
2016-02-16,ar_cs16_300x250_1,27,0.01,27.0,0.32592592
2016-02-17,ar_cs16_300x250_1,143,0.02,179.0,0.09832402
2016-02-16,ar_cs16_728x90_1,22,0.0,22.0,0.0
2016-02-17,ar_cs16_728x90_1,173,0.03,217.0,0.12165898
2016-02-17,ar_cs16_728x90_2,110,0.01,138.0,0.06376811
2016-02-16,ar_els100_728x90,339,0.06,343.0,0.15393586
2016-02-17,ar_els100_728x90,128,0.04,160.0,0.22
2016-02-16,ar_els1_300x250_1,1393,0.21,1410.0,0.13106383
2016-02-17,ar_els1_300x250_1,1301,0.23,1631.0,0.12409565
2016-02-16,ar_els1_728x90_1,1531,0.18,1548.0,0.10232559
2016-02-17,ar_els1_728x90_1,1391,0.21,1744.0,0.1059633
2016-02-16,ar_els1_728x90_2,1215,0.14,1218.0,0.10114943
2016-02-17,ar_els1_728x90_2,1094,0.14,1371.0,0.08986142
2016-02-16,ar_els3_300x250_1,88,0.01,89.0,0.0988764
2016-02-17,ar_els3_300x250_1,78,0.01,98.0,0.08979592
2016-02-16,ar_els3_728x90_1,134,0.01,136.0,0.06470588
2016-02-17,ar_els3_728x90_1,133,0.02,167.0,0.10538922
2016-02-16,ar_els3_728x90_2,98,0.01,99.0,0.08888889
2016-02-17,ar_els3_728x90_2,81,0.01,102.0,0.08627451
2016-02-16,ar_els3_728x90_3,143,0.01,145.0,0.06068965
2016-02-17,ar_els3_728x90_3,141,0.01,177.0,0.04971751
2016-02-16,ar_end1_300x250_1,16,0.0,16.0,0.0
2016-02-17,ar_end1_300x250_1,22,0.01,28.0,0.31428571
2016-02-16,ar_end1_728x90_1,23,0.01,23.0,0.38260869
2016-02-17,ar_end1_728x90_1,26,0.01,33.0,0.26666666
2016-02-16,ar_end1_728x90_2,16,0.0,16.0,0.0
2016-02-17,ar_end1_728x90_2,19,0.01,24.0,0.36666666
